"season_year","home_team","away_team","winning"
2012,"PHI","CIN",-1
2010,"JAC","WAS",-1
2010,"DEN","HOU",1
2010,"STL","SF",1
2010,"MIA","DET",-1
2010,"TB","SEA",1
2010,"CLE","BAL",-1
2010,"KC","TEN",1
2010,"CHI","NYJ",1
2010,"BUF","NE",-1
2010,"WAS","IND",-1
2010,"MIN","DAL",1
2010,"SF","OAK",1
2009,"CLE","PIT",1
2012,"WAS","NYG",1
2009,"CHI","GB",-1
2010,"NO","PIT",1
2010,"OAK","SEA",1
2010,"NE","NYJ",1
2009,"CAR","MIA",-1
2010,"DEN","OAK",-1
2010,"SD","NE",-1
2010,"GB","MIN",1
2010,"NE","GB",1
2010,"OAK","DEN",1
2010,"PIT","NYJ",-1
2010,"SEA","ATL",-1
2010,"DEN","IND",-1
2010,"JAC","PHI",-1
2010,"SEA","SD",1
2010,"ARI","OAK",1
2010,"MIA","NYJ",-1
2010,"TEN","HOU",1
2010,"IND","DAL",-1
2010,"ARI","STL",-1
2010,"SEA","CAR",1
2010,"NYG","PHI",-1
2010,"CAR","ARI",1
2011,"NYJ","MIA",1
2010,"STL","KC",-1
2009,"ARI","IND",-1
2009,"OAK","DEN",-1
2009,"SD","MIA",1
2009,"SEA","CHI",-1
2009,"NYJ","TEN",1
2009,"TEN","MIA",1
2009,"DEN","OAK",-1
2009,"DET","ARI",-1
2009,"KC","CLE",-1
2009,"BAL","CHI",1
2009,"BUF","NE",-1
2009,"PIT","GB",1
2009,"STL","HOU",-1
2009,"NYJ","ATL",-1
2009,"PHI","SF",1
2010,"GB","NYG",1
2010,"OAK","IND",-1
2010,"CIN","SD",1
2010,"CAR","TB",-1
2010,"DEN","SEA",1
2010,"WAS","HOU",-1
2010,"GB","BUF",1
2010,"MIN","MIA",-1
2010,"CLE","KC",-1
2010,"TEN","PIT",-1
2010,"DAL","CHI",-1
2010,"DET","PHI",-1
2010,"ATL","ARI",1
2009,"MIN","CHI",1
2009,"NYJ","CAR",1
2009,"PHI","WAS",1
2009,"STL","SEA",-1
2009,"ATL","TB",1
2009,"BUF","MIA",1
2009,"CIN","CLE",1
2009,"HOU","IND",-1
2009,"ATL","CHI",1
2009,"TEN","ARI",1
2009,"SD","KC",1
2009,"SF","DET",1
2012,"OAK","SD",-1
2012,"BAL","CIN",1
2011,"NYG","STL",1
2011,"DEN","NYJ",1
2010,"PHI","WAS",-1
2010,"SD","ARI",1
2010,"NYG","CHI",1
2011,"IND","ATL",-1
2011,"OAK","DEN",-1
2011,"WAS","SF",-1
2011,"NO","TB",1
2011,"KC","MIA",-1
2011,"DAL","SEA",1
2011,"BUF","NYJ",-1
2011,"HOU","CLE",1
2011,"TEN","CIN",-1
2011,"NE","NYG",-1
2012,"TEN","HOU",-1
2012,"DEN","TB",1
2012,"STL","SF",1
2012,"NYJ","ARI",1
2012,"CHI","SEA",-1
2012,"GB","MIN",1
2012,"BUF","JAC",1
2012,"MIA","NE",-1
2012,"KC","CAR",1
2012,"DET","IND",-1
2010,"DAL","TEN",-1
2010,"OAK","SD",1
2010,"SF","PHI",-1
2010,"NYJ","MIA",-1
2010,"ARI","DEN",1
2010,"SD","KC",1
2010,"DAL","PHI",-1
2012,"NYJ","SD",-1
2012,"ARI","CHI",-1
2012,"SEA","SF",1
2012,"HOU","MIN",-1
2012,"DEN","CLE",1
2010,"SD","OAK",-1
2010,"CIN","NO",-1
