"player_id","team_2009","team_2010","team_2011","team_2012"
22836,"OAK","OAK","SEA",""
27122,"KC","","",""
27896,"","DET","",""
25764,"BUF","BUF","",""
27041,"STL","STL","STL","STL"
28286,"","","","PIT"
23471,"TB","TB","TEN","HOU"
26566,"","PIT","PIT","PIT"
27822,"","GB","GB","GB"
27215,"","WAS","WAS","WAS"
27128,"CLE","CLE","","OAK"
21187,"KC","KC","KC",""
25499,"PIT","PIT","PIT",""
27702,"","TB","TB","TB"
24367,"WAS","","",""
27656,"","NE","NE","NE"
19100,"CAR","","",""
26738,"","SEA","",""
27427,"","","IND",""
27023,"OAK","OAK","OAK","OAK"
21998,"SEA","BAL","BAL","IND"
27857,"","WAS","WAS","WAS"
23446,"SD","SD","BUF","BUF"
25619,"SEA","","","JAC"
20505,"ARI","ARI","ARI","ARI"
27001,"MIA","MIA","MIA","IND"
1176,"ARI","","",""
25993,"DAL","","",""
26000,"MIA","MIA","MIA","MIA"
26351,"MIA","","MIA","MIA"
21270,"TB","","",""
28159,"","","NYG","NYG"
30384,"","","",""
26056,"","SD","",""
29414,"","","","CIN"
29682,"","","","DEN"
23662,"KC","KC","KC","KC"
25848,"SEA","SEA","SEA",""
25482,"SD","SD","SD",""
25934,"KC","","",""
29217,"","","","DET"
27874,"","DEN","DEN","DEN"
21577,"PHI","SEA","SEA","SEA"
27052,"SD","SD","SD","SD"
24582,"","","","IND"
23511,"MIN","HOU","",""
24755,"SD","SD","",""
28598,"","","GB","GB"
27772,"","SF","SF","SF"
26544,"","NO","NO","NO"
30419,"","","",""
24002,"BAL","BAL","BAL",""
21189,"BUF","HOU","",""
20268,"OAK","","",""
26963,"SEA","SEA","SEA",""
19605,"PHI","","",""
27585,"","SD","SD","SD"
30474,"","","",""
20533,"DAL","DAL","","SF"
28906,"","","","IND"
27743,"","HOU","HOU","CHI"
27149,"","DAL","",""
26344,"MIA","MIA","MIA","NYJ"
26353,"DAL","","DAL",""
27652,"","PHI","PHI","PHI"
28041,"","","ARI","ARI"
24217,"NO","NO","MIA","MIA"
17813,"SD","DEN","",""
27986,"","","OAK","OAK"
30109,"","","",""
5231,"ATL","ATL","",""
29545,"","","","WAS"
25578,"GB","GB","NO",""
26980,"KC","KC","KC","KC"
28441,"","","SEA","SEA"
25444,"PHI","","",""
21214,"MIA","BUF","",""
24306,"CIN","CIN","CIN","CLE"
25991,"IND","IND","IND",""
30488,"","","",""
22161,"BAL","BAL","BAL","BAL"
22707,"KC","KC","KC","SD"
22780,"DEN","DEN","DEN","DEN"
26598,"","ARI","",""
29492,"","","","OAK"
26943,"","","",""
27952,"","","STL","STL"
30382,"","","",""
22164,"STL","OAK","OAK",""
27333,"","TEN","","TEN"
22247,"CLE","CLE","CLE","DEN"
30065,"","","",""
29416,"","","","PHI"
22841,"MIA","","",""
